y_true,y_pred
2.009574159,4.268207398
13.34922091,23.44013732
10.69534804,6.736060468
4.28584351,9.993083341
17.48104401,14.22844604
2.381420596,46.9444741
3.916758959,17.81004509
10.75655084,31.36726538
9.905396438,26.27166482
13.75931537,4.059317941
15.47034557,28.02267521
0.86228129,20.09031089
11.01022069,1.081011184
18.40178625,0.204297643
19.76289078,7.019190057
15.34856166,15.96656683
14.34995856,31.08610033
1.744534251,32.25079618
3.521022968,49.32809883
2.133036426,48.12709665
14.99187672,48.95607368
6.005160458,33.62116817
1.946353526,8.830664514
6.336595903,16.8219894
12.66792736,41.74158457
9.537255326,13.03747247
10.95785892,18.91150786
1.21080007,21.89804802
4.460659468,33.77721088
16.48121366,11.73637519
11.92992299,10.60833746
6.21940234,48.81337058
9.865468811,48.28224831
11.71091925,35.07677416
11.78831911,47.13321399
19.03526498,7.442244569
1.532634543,33.89315941
13.12529567,23.47870265
12.78430883,42.72538929
0.408176936,32.55951346
7.182383098,25.90198577
9.516567568,34.92180617
1.96682544,20.01956387
9.656295976,41.03686016
7.043487881,11.56791892
1.0849086,37.05532952
15.85880605,40.99981218
0.094284535,29.01698986
6.595431683,47.95083979
19.37133108,28.90501808
13.40369656,47.54628494
11.62183947,38.50195009
4.765312414,4.188687105
13.22810377,24.13927103
2.125328586,14.56540846
13.43951967,28.64029315
14.54528462,21.29042947
4.541494432,8.879923418
0.408463792,43.72195566
0.708905866,38.17804334
16.7395819,48.02328429
8.120088174,24.12164284
6.394863064,3.129892127
6.822519489,14.34075794
8.138593366,8.784096308
16.09919843,26.16234788
13.15329954,23.77123283
2.362214544,23.69115189
3.342989994,44.95582567
4.322973522,3.993872681
5.54438835,22.24614272
4.541454032,10.74573371
8.378052652,22.54240949
15.95613579,49.4498529
11.69595719,28.68323778
18.53960693,35.45494868
1.458307719,29.34889884
7.684449996,19.43108433
17.67424013,34.31142963
3.738071757,4.209759264
4.895956606,25.59277172
2.498788716,18.5297186
12.244509,26.02198428
16.80076576,49.73362463
11.95319864,46.83125321
17.78592909,49.14548519
10.771286,16.97562419
19.87768987,3.376739469
7.42452372,45.27214799
9.490123308,41.58200304
10.72490031,44.87612073
9.608342594,36.45869645
9.304444559,26.90422074
10.74889854,3.289451521
13.61450751,46.90812447
13.32513425,28.11393807
3.670535663,48.66105962
12.99731546,18.93669994
3.228679551,46.17405723
1.181998724,48.40067917
