var1,var2,var3,var4,var5
6.205334897,34.75786438,4.787428145,49.18636658,0.00484207
6.718841608,40.00293652,1.918573881,738.3616973,0.000172252
18.68973637,7.596078495,2.914171145,342.5176135,0.006849056
15.0526771,39.0781789,3.536749376,110.5958199,0.003545202
5.256862656,40.40740509,1.973998352,4.476955437,0.001469014
6.45058515,8.506424107,0.812218474,998.7780543,0.000106598
14.58396894,41.22396011,8.60320571,601.9781183,0.002325083
12.86941877,40.43818804,5.693330787,473.3451272,0.009096511
0.595753205,31.60514036,0.195203422,21.46421417,0.002174964
14.51642416,39.30185025,3.741257071,236.9088571,0.006869854
1.337142052,3.001705082,4.090933021,237.8538591,0.004645765
10.90995419,5.207794822,7.400713526,445.4000232,0.001458354
13.61263442,16.90692556,9.682492781,227.9477289,0.00736097
10.61692814,20.58117102,7.516277741,819.0538019,0.001564465
0.996920047,21.94558829,3.133482599,480.4686581,0.006761761
0.150970022,23.62005354,7.741447145,30.65096364,0.008913906
0.263576812,44.51142635,0.674037013,597.5268153,0.003499556
6.372482026,24.08096628,3.953052016,744.701546,0.007961117
6.600153315,25.68307653,8.285401756,552.7676108,0.007210923
17.92863647,21.72856351,5.527623033,56.11629689,0.000740794
2.991457835,28.61321059,0.828721724,982.0478811,0.006403153
16.26740115,28.00753389,0.128683571,938.226763,0.000121381
1.080817899,1.306985294,9.839289403,380.5811523,0.009160819
13.27694089,11.21482584,3.816059249,658.998491,0.000581489
12.08005056,8.917181202,4.839288958,644.9546669,0.002145279
2.168847258,42.20512764,7.592545822,296.6765385,0.006734862
9.490374827,1.356771975,9.795267078,224.28884,0.00015193
3.662573747,10.31122813,9.930616037,674.2876844,0.005639876
11.87036154,9.074949327,6.705461439,4.288878039,7.61978E-05
9.170055103,13.96072281,4.017535788,415.3836328,0.006410089
16.00602209,27.04445267,2.811501334,128.6916599,0.004718189
0.65787512,6.963502199,2.856425743,687.5978227,0.00616327
15.65783084,11.76439024,5.103360467,206.6437795,0.005212935
11.41546096,10.47622467,7.183923117,476.1455157,0.001063443
18.41200841,12.64210523,7.104190767,28.12606251,0.003852253
2.470475704,11.09487669,5.327795681,467.8470593,0.005930947
17.71651279,24.83987882,6.583328237,681.8773414,0.001023997
7.26870876,22.2484902,3.190571981,40.01064487,0.003876487
19.62692892,17.04371484,8.906962458,828.7196872,0.003609886
9.033017795,32.23406889,9.215268346,746.867477,0.003898508
8.681436051,44.71334574,1.337034018,986.4174024,0.001271155
